City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
537,Nang Rong,TH,80.64,overcast clouds,14.6377,102.7914,Phanomrungpuri Boutique Hotels & Resorts
540,Kalmunai,LK,80.89,overcast clouds,7.4167,81.8167,VS Villa
541,Aketi,CD,77.67,broken clouds,2.7388,23.7833,
542,Cabedelo,BR,84.87,broken clouds,-6.9811,-34.8339,Hotel Pigalle
546,Svatove,UA,75.83,overcast clouds,49.4103,38.1503,Myslyvsʹka Vatra
547,Ixtapa,MX,86.23,overcast clouds,20.7,-105.2,Hotel Plaza Providencia
548,Kota Tinggi,MY,78.84,broken clouds,1.7381,103.8999,Canopy Tribe
551,Acapulco,MX,85.82,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
552,Turayf,SA,88.97,clear sky,31.6725,38.6637,Turaif
556,Port-Gentil,GA,78.76,overcast clouds,-0.7193,8.7815,Fengshui Residence
560,Umm Kaddadah,SD,87.44,broken clouds,13.6017,26.6876,
566,Komsomolskiy,UZ,88.52,clear sky,40.4272,71.7189,Ikathouse
569,Caucaia,BR,87.75,few clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
570,Porto Novo,BJ,77.43,light rain,6.4965,2.6036,Tour Eiffel Hotel Benin
571,Trairi,BR,86.02,clear sky,-3.2778,-39.2689,janelas do mar
574,Makat,KZ,89.15,clear sky,47.6469,53.3463,Umit
575,Planeta Rica,CO,83.05,overcast clouds,8.4147,-75.5883,HOTEL MEDIA LUNA
577,Faxinal,BR,76.14,clear sky,-24.0003,-51.3194,Hotel Pires
580,Kangaba,ML,80.08,light rain,11.9333,-8.4167,Hôtel Mandé
581,Pitangueiras,BR,82.92,clear sky,-21.0094,-48.2217,Taboca's Hotel
584,Baijiantan,CN,87.19,scattered clouds,45.6333,85.1833,
585,Elko,US,79.05,clear sky,41.0002,-115.5012,
587,Marsaxlokk,MT,86.07,clear sky,35.8419,14.5431,Water's Edge
588,Krizevci,HR,84.79,broken clouds,46.0219,16.5425,Koristan Kod d.o.o.
589,Goderich,CA,76.91,overcast clouds,43.7501,-81.7165,Harmony Inn
